Heading	Description	EventCatId	LogEvent	DisplayEvent	EventType	OverrideAlarm	Priority	RestoreEventCode	SendResetToPanel	ReponseRequired	Required2ndResponse	EventCode	EventClass	Auditting	UpdateStatus	StatusOptions	MobileNotification	EventColor	ChallengerCos	ChEvent	ChSubEvent	oPoint	sPoint	oUser	sUser	oJob	sJob	oFloor	sFloor	oRegion	sRegion				PageOnEvent	PageOnAck	PageOnRemoval
Panel Event Category																																					
	Comms - offline	1	1	1	1	0	60	811	0	1	0	810	41	0	1	0	1	EF1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Comms - online	1	1	1	2	0	60	0	0	0	0	811	41	0	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Mains fail	1	1	1	1	0	60	813	0	1	0	812	41	0	1	1	0	EF1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Mains restored	1	1	1	2	0	60	0	0	0	0	813	41	0	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Battery low	1	1	1	1	0	60	815	0	1	0	814	41	0	1	1	0	EF1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Battery low restored	1	1	1	2	0	60	0	0	0	0	815	41	0	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Fuse fail	1	1	1	1	0	60	817	0	1	0	816	41	0	1	1	0	EF1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Fuse fail restored	1	1	1	2	0	60	0	0	0	0	817	41	0	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Siren monitor fail	1	1	1	1	0	50	819	0	1	0	818	41	0	1	1	0	EF1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Siren monitor restored	1	1	1	2	0	50	0	0	0	0	819	41	0	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Tamper	1	1	1	1	0	60	821	0	1	0	820	41	0	1	1	0	EF1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Tamper restored	1	1	1	2	0	60	0	0	0	0	821	41	0	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Battery test - start	1	1	1	0	0	70	823	0	0	0	822	41	0	1	1	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Battery test - finish	1	1	1	2	0	70	0	0	0	0	823	41	0	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Battery test - fail	1	1	1	1	0	70	825	0	1	0	824	41	0	1	1	0	EF1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Battery test - restored	1	1	1	2	0	70	0	0	0	0	825	41	0	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	CPU restart	1	1	1	0	0	70	0	0	0	0	826	52	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Comms - encryption fail	1	1	1	0	0	70	0	0	0	0	827	41	0	0	0	0	EF1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Isolated	1	1	1	0	0	70	832	0	0	0	831	50	0	1	3	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	De-isolated	1	1	1	2	0	70	0	0	0	0	832	50	0	1	2	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Comms - panel time out	1	1	1	0	0	60	0	0	0	0	833	41	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Comms - responding	1	1	1	2	0	40	0	0	0	0	834	41	0	1	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Comms - bad panel data checksum	1	1	1	0	0	60	0	0	0	0	835	41	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
	Comms - no response	1	1	1	1	0	40	834	0	1	0	836	41	0	1	1	0	EF1111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
